Latitude (decimal degrees):	-23.553
Longitude (decimal degrees):	-46.553
Elevation (m):	780
Radiation database:	PVGIS-SARAH3


Slope: 25 deg. (optimum)
Azimuth: -169 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	10.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230709:1103,298.1,50.98,14.29,14.97,0.14,0.0
20230709:1203,1661.9,217.04,25.26,15.32,0.21,0.0
20230709:1303,798.9,113.5,34.56,16.2,1.1,0.0
20230709:1403,826.8,117.35,41.21,17.19,1.24,0.0
20230709:1503,1606.0,214.04,44.04,18.43,0.55,0.0
20230709:1603,1675.7,224.12,42.35,19.7,0.41,0.0
20230709:1703,1752.2,234.37,36.58,20.67,0.48,0.0
20230709:1803,496.1,77.91,27.85,20.99,0.55,0.0
20230709:1903,206.6,39.44,17.23,18.72,0.14,0.0
20230709:2003,2.8,6.52,5.44,18.4,0.55,0.0
20230709:2103,0.0,0.0,0.0,17.68,1.03,0.0
20230709:2203,0.0,0.0,0.0,16.96,0.97,0.0
20230709:2303,0.0,0.0,0.0,16.38,1.17,0.0
20230710:0003,0.0,0.0,0.0,15.65,1.31,0.0
20230710:0103,0.0,0.0,0.0,15.31,1.24,0.0
20230710:0203,0.0,0.0,0.0,15.23,1.31,0.0
20230710:0303,0.0,0.0,0.0,15.33,1.72,0.0
20230710:0403,0.0,0.0,0.0,15.09,1.52,0.0
20230710:0503,0.0,0.0,0.0,15.03,1.72,0.0
20230710:0603,0.0,0.0,0.0,14.84,1.45,0.0
20230710:0703,0.0,0.0,0.0,14.97,1.86,0.0
20230710:0803,0.0,0.0,0.0,14.85,1.66,0.0
20230710:0903,0.0,0.0,0.0,14.54,1.52,0.0
20230710:1003,0.0,1.92,2.29,14.22,1.38,0.0
20230710:1103,437.2,68.68,14.33,15.26,1.17,0.0
20230710:1203,527.9,80.8,25.32,17.77,1.17,0.0
20230710:1303,1096.7,151.98,34.64,20.03,1.38,0.0
20230710:1403,1468.2,198.7,41.31,21.53,1.93,0.0
20230710:1503,4522.8,595.89,44.16,22.8,2.76,0.0
20230710:1603,3512.7,459.44,42.48,23.95,3.38,0.0
20230710:1703,2515.7,330.71,36.7,24.34,3.59,0.0
20230710:1803,305.7,53.87,27.96,24.68,3.66,0.0
20230710:1903,381.5,63.48,17.33,22.91,3.38,0.0
20230710:2003,0.0,5.59,5.53,21.99,2.28,0.0
20230710:2103,0.0,0.0,0.0,20.81,1.31,0.0
20230710:2203,0.0,0.0,0.0,19.7,1.17,0.0
20230710:2303,0.0,0.0,0.0,18.87,1.45,0.0
20230711:0003,0.0,0.0,0.0,18.3,1.52,0.0
20230711:0103,0.0,0.0,0.0,17.78,1.72,0.0
20230711:0203,0.0,0.0,0.0,17.23,1.59,0.0
20230711:0303,0.0,0.0,0.0,16.8,1.59,0.0
20230711:0403,0.0,0.0,0.0,16.14,1.79,0.0
20230711:0503,0.0,0.0,0.0,15.76,1.93,0.0
20230711:0603,0.0,0.0,0.0,15.39,2.07,0.0
20230711:0703,0.0,0.0,0.0,14.97,1.86,0.0
20230711:0803,0.0,0.0,0.0,15.05,1.72,0.0
20230711:0903,0.0,0.0,0.0,14.97,1.66,0.0
20230711:1003,0.0,3.85,2.32,15.06,1.52,0.0
20230711:1103,2706.1,347.99,14.37,16.44,1.17,0.0
20230711:1203,3842.6,501.14,25.38,20.52,1.17,0.0
20230711:1303,2984.7,392.45,34.73,23.05,1.52,0.0
20230711:1403,5135.5,696.66,41.42,24.62,1.93,0.0
20230711:1503,6197.3,863.91,44.28,25.65,2.21,0.0
20230711:1603,5894.9,814.44,42.61,26.07,2.34,0.0
20230711:1703,2585.5,344.84,36.82,26.08,2.21,0.0
20230711:1803,2793.3,371.87,28.07,25.35,1.45,0.0
20230711:1903,2247.4,303.99,17.43,23.03,1.24,0.0
20230711:2003,136.2,29.81,5.61,21.82,1.38,0.0
20230711:2103,0.0,0.0,0.0,20.4,1.24,0.0
20230711:2203,0.0,0.0,0.0,19.24,1.17,0.0
20230711:2303,0.0,0.0,0.0,18.14,1.17,0.0
20230712:0003,0.0,0.0,0.0,17.71,1.45,0.0
20230712:0103,0.0,0.0,0.0,17.47,1.66,0.0
20230712:0203,0.0,0.0,0.0,17.01,1.72,0.0
20230712:0303,0.0,0.0,0.0,16.56,1.59,0.0
20230712:0403,0.0,0.0,0.0,16.01,1.38,0.0
20230712:0503,0.0,0.0,0.0,15.54,1.24,0.0
20230712:0603,0.0,0.0,0.0,15.1,1.17,0.0
20230712:0703,0.0,0.0,0.0,15.21,1.31,0.0
20230712:0803,0.0,0.0,0.0,15.12,1.31,0.0
20230712:0903,0.0,0.0,0.0,14.76,1.59,0.0
20230712:1003,0.0,1.92,2.35,14.49,1.66,0.0
20230712:1103,436.9,68.66,14.42,15.43,1.59,0.0
20230712:1203,2420.6,311.95,25.45,18.85,1.66,0.0
20230712:1303,5775.0,781.64,34.82,22.29,1.93,0.0
20230712:1403,6400.7,881.9,41.54,24.85,2.83,0.0
20230712:1503,6693.1,918.71,44.42,26.33,4.14,0.0
20230712:1603,6323.8,850.77,42.75,27.03,5.45,0.0
20230712:1703,5587.3,740.1,36.95,27.05,5.66,0.0
20230712:1803,4297.0,564.04,28.19,26.67,4.97,0.0
20230712:1903,2475.7,333.89,17.53,26.11,4.69,0.0
20230712:2003,128.0,28.88,5.71,24.76,4.34,0.0
20230712:2103,0.0,0.0,0.0,23.06,3.66,0.0
20230712:2203,0.0,0.0,0.0,21.88,3.59,0.0
20230712:2303,0.0,0.0,0.0,21.15,3.86,0.0
20230713:0003,0.0,0.0,0.0,20.67,4.07,0.0
20230713:0103,0.0,0.0,0.0,20.27,4.28,0.0
20230713:0203,0.0,0.0,0.0,20.18,4.83,0.0
20230713:0303,0.0,0.0,0.0,20.31,5.38,0.0
20230713:0403,0.0,0.0,0.0,20.4,5.93,0.0
20230713:0503,0.0,0.0,0.0,20.78,6.41,0.0
20230713:0603,0.0,0.0,0.0,20.94,6.83,0.0
20230713:0703,0.0,0.0,0.0,20.89,7.17,0.0
20230713:0803,0.0,0.0,0.0,20.63,7.59,0.0
20230713:0903,0.0,0.0,0.0,19.7,7.93,0.0
20230713:1003,3.5,6.73,2.39,19.21,8.07,0.0
20230713:1103,1760.3,228.82,14.47,19.5,8.41,0.0
20230713:1203,4777.5,599.35,25.52,20.42,7.38,0.0
20230713:1303,6259.4,795.06,34.91,21.46,8.55,0.0
20230713:1403,6972.5,897.2,41.66,22.47,9.03,0.0
20230713:1503,7194.5,933.47,44.56,23.32,9.03,0.0
20230713:1603,6850.5,887.59,42.89,23.82,8.83,0.0
20230713:1703,6243.5,804.97,37.09,23.9,8.21,0.0
20230713:1803,4648.0,594.67,28.31,23.5,7.03,0.0
20230713:1903,2877.9,378.42,17.64,22.49,6.34,0.0
20230713:2003,14.3,9.32,5.8,20.94,5.03,0.0
20230713:2103,0.0,0.0,0.0,19.13,4.28,0.0
20230713:2203,0.0,0.0,0.0,17.82,4.14,0.0
20230713:2303,0.0,0.0,0.0,17.08,4.55,0.0
20230714:0003,0.0,0.0,0.0,16.14,4.34,0.0
20230714:0103,0.0,0.0,0.0,15.41,3.79,0.0
20230714:0203,0.0,0.0,0.0,15.08,3.45,0.0
20230714:0303,0.0,0.0,0.0,14.59,3.03,0.0
20230714:0403,0.0,0.0,0.0,13.99,3.03,0.0
20230714:0503,0.0,0.0,0.0,13.17,2.9,0.0
20230714:0603,0.0,0.0,0.0,12.42,2.83,0.0
20230714:0703,0.0,0.0,0.0,12.32,2.9,0.0
20230714:0803,0.0,0.0,0.0,11.55,2.76,0.0
20230714:0903,0.0,0.0,0.0,10.87,2.41,0.0
20230714:1003,0.0,4.81,2.43,10.2,2.0,0.0
20230714:1103,1748.2,222.08,14.53,10.98,2.07,0.0
20230714:1203,4878.9,605.4,25.6,12.34,3.17,0.0
20230714:1303,6223.0,792.29,35.02,13.25,3.31,0.0
20230714:1403,5611.9,714.64,41.79,14.1,3.1,0.0
20230714:1503,6613.8,865.66,44.7,14.9,2.9,0.0
20230714:1603,6317.8,823.52,43.04,15.33,2.83,0.0
20230714:1703,5691.9,729.79,37.23,15.36,2.97,0.0
20230714:1803,4165.5,522.53,28.43,15.06,3.1,0.0
20230714:1903,2836.5,362.87,17.75,14.52,3.45,0.0
20230714:2003,116.8,26.09,5.89,13.48,3.31,0.0
20230714:2103,0.0,0.0,0.0,12.25,2.9,0.0
20230714:2203,0.0,0.0,0.0,11.28,2.41,0.0
20230714:2303,0.0,0.0,0.0,10.66,2.14,0.0
20230715:0003,0.0,0.0,0.0,10.22,2.0,0.0
20230715:0103,0.0,0.0,0.0,9.71,1.79,0.0
20230715:0203,0.0,0.0,0.0,9.13,1.66,0.0
20230715:0303,0.0,0.0,0.0,8.78,1.45,0.0
20230715:0403,0.0,0.0,0.0,9.33,1.45,0.0
20230715:0503,0.0,0.0,0.0,9.58,1.24,0.0
20230715:0603,0.0,0.0,0.0,9.58,1.31,0.0
20230715:0703,0.0,0.0,0.0,9.45,1.03,0.0
20230715:0803,0.0,0.0,0.0,9.57,1.17,0.0
20230715:0903,0.0,0.0,0.0,9.09,1.38,0.0
20230715:1003,51.6,16.56,2.48,8.96,1.72,0.0
20230715:1103,2949.3,365.56,14.59,9.92,1.93,0.0
20230715:1203,4952.2,617.72,25.68,11.58,2.41,0.0
20230715:1303,5941.5,757.23,35.12,13.42,2.97,0.0
20230715:1403,7002.8,925.96,41.92,15.1,2.83,0.0
20230715:1503,7083.3,951.38,44.85,16.57,2.62,0.0
20230715:1603,6796.1,917.36,43.19,17.53,2.21,0.0
20230715:1703,5936.5,790.0,37.37,18.21,1.86,0.0
20230715:1803,4657.1,609.26,28.56,18.48,1.38,0.0
20230715:1903,2814.1,372.08,17.86,18.58,1.24,0.0
20230715:2003,126.6,27.95,5.99,17.65,1.24,0.0
20230715:2103,0.0,0.0,0.0,15.8,1.59,0.0
20230715:2203,0.0,0.0,0.0,14.06,1.72,0.0
20230715:2303,0.0,0.0,0.0,12.71,1.72,0.0
20230716:0003,0.0,0.0,0.0,11.69,1.59,0.0
20230716:0103,0.0,0.0,0.0,11.52,1.31,0.0
20230716:0203,0.0,0.0,0.0,11.79,0.97,0.0
20230716:0303,0.0,0.0,0.0,12.11,0.48,0.0
20230716:0403,0.0,0.0,0.0,12.12,0.34,0.0
20230716:0503,0.0,0.0,0.0,11.66,0.62,0.0
20230716:0603,0.0,0.0,0.0,11.38,1.24,0.0
20230716:0703,0.0,0.0,0.0,9.84,1.38,0.0
20230716:0803,0.0,0.0,0.0,9.57,1.31,0.0
20230716:0903,0.0,0.0,0.0,9.26,1.31,0.0
20230716:1003,0.0,2.89,2.53,9.14,1.38,0.0
20230716:1103,1093.8,145.04,14.66,10.22,1.59,0.0
20230716:1203,2219.6,279.52,25.77,12.91,1.66,0.0
20230716:1303,2682.4,342.58,35.24,16.37,1.45,0.0
20230716:1403,6449.8,890.59,42.06,19.44,1.24,0.0
20230716:1503,6648.4,934.31,45.01,21.36,1.31,0.0
20230716:1603,6250.9,863.81,43.35,22.56,1.79,0.0
20230716:1703,5123.4,685.49,37.52,22.96,2.14,0.0
20230716:1803,3882.2,509.92,28.69,22.9,2.14,0.0
20230716:1903,1090.7,152.9,17.97,22.02,1.72,0.0
20230716:2003,0.0,5.59,6.08,20.75,0.83,0.0
20230716:2103,0.0,0.0,0.0,18.99,0.55,0.0
20230716:2203,0.0,0.0,0.0,17.95,0.55,0.0
20230716:2303,0.0,0.0,0.0,16.93,0.55,0.0
20230717:0003,0.0,0.0,0.0,15.84,0.83,0.0
20230717:0103,0.0,0.0,0.0,15.28,1.03,0.0
20230717:0203,0.0,0.0,0.0,15.13,1.03,0.0
20230717:0303,0.0,0.0,0.0,15.06,0.9,0.0
20230717:0403,0.0,0.0,0.0,15.06,0.62,0.0
20230717:0503,0.0,0.0,0.0,15.08,0.55,0.0
20230717:0603,0.0,0.0,0.0,14.5,0.9,0.0
20230717:0703,0.0,0.0,0.0,14.89,0.55,0.0
20230717:0803,0.0,0.0,0.0,14.99,0.62,0.0
20230717:0903,0.0,0.0,0.0,14.75,0.62,0.0
20230717:1003,3.8,6.73,2.58,14.59,0.34,0.0
20230717:1103,669.2,97.13,14.73,14.66,0.41,0.0
20230717:1203,4759.4,621.75,25.86,16.44,0.62,0.0
20230717:1303,5869.7,794.45,35.36,18.1,0.83,0.0
20230717:1403,3292.3,429.55,42.21,19.67,0.97,0.0
20230717:1503,6386.2,905.08,45.18,20.97,0.55,0.0
20230717:1603,6036.9,861.22,43.52,21.95,0.07,0.0
20230717:1703,5272.6,728.96,37.67,22.43,0.28,0.0
20230717:1803,3987.5,533.37,28.82,22.52,0.48,0.0
20230717:1903,2281.7,305.88,18.08,21.8,1.38,0.0
20230717:2003,0.0,5.77,6.18,20.2,1.86,0.0
20230717:2103,0.0,0.0,0.0,18.22,1.93,0.0
20230717:2203,0.0,0.0,0.0,16.89,1.72,0.0
20230717:2303,0.0,0.0,0.0,16.14,1.45,0.0
20230718:0003,0.0,0.0,0.0,15.71,1.38,0.0
20230718:0103,0.0,0.0,0.0,15.4,1.38,0.0
20230718:0203,0.0,0.0,0.0,15.11,1.45,0.0
20230718:0303,0.0,0.0,0.0,15.04,1.66,0.0
20230718:0403,0.0,0.0,0.0,15.01,1.72,0.0
20230718:0503,0.0,0.0,0.0,14.88,1.31,0.0
20230718:0603,0.0,0.0,0.0,14.79,1.17,0.0
20230718:0703,0.0,0.0,0.0,14.61,0.97,0.0
20230718:0803,0.0,0.0,0.0,14.51,1.03,0.0
20230718:0903,0.0,0.0,0.0,14.39,1.31,0.0
20230718:1003,0.0,1.92,2.64,14.34,1.59,0.0
20230718:1103,89.5,22.12,14.81,14.56,1.93,0.0
20230718:1203,606.8,89.45,25.96,14.99,2.07,0.0
20230718:1303,1131.0,152.94,35.48,15.72,2.28,0.0
20230718:1403,961.9,132.74,42.36,15.98,2.48,0.0
20230718:1503,1383.5,183.72,45.35,16.56,2.69,0.0
20230718:1603,1391.8,184.68,43.69,16.72,3.03,0.0
20230718:1703,2202.2,281.83,37.82,16.9,3.45,0.0
20230718:1803,216.6,40.4,28.96,16.71,3.59,0.0
20230718:1903,290.5,50.02,18.2,15.76,3.52,0.0
20230718:2003,0.2,5.77,6.28,15.4,3.59,0.0
20230718:2103,0.0,0.0,0.0,14.84,3.17,0.0
20230718:2203,0.0,0.0,0.0,14.5,3.03,0.0
20230718:2303,0.0,0.0,0.0,14.33,2.76,0.0
20230719:0003,0.0,0.0,0.0,14.17,2.48,0.0
20230719:0103,0.0,0.0,0.0,14.03,2.34,0.0
20230719:0203,0.0,0.0,0.0,13.93,2.41,0.0
20230719:0303,0.0,0.0,0.0,13.94,2.34,0.0
20230719:0403,0.0,0.0,0.0,13.89,2.21,0.0
20230719:0503,0.0,0.0,0.0,13.94,2.41,0.0
20230719:0603,0.0,0.0,0.0,14.09,2.48,0.0
20230719:0703,0.0,0.0,0.0,13.89,2.55,0.0
20230719:0803,0.0,0.0,0.0,13.94,2.48,0.0
20230719:0903,0.0,0.0,0.0,13.97,2.62,0.0
20230719:1003,0.0,2.89,2.7,14.06,2.69,0.0
20230719:1103,176.7,34.63,14.89,14.19,2.9,0.0
20230719:1203,1335.5,175.83,26.07,14.79,3.31,0.0
20230719:1303,1295.8,171.83,35.61,15.26,3.45,0.0
20230719:1403,1840.5,236.86,42.52,15.46,3.66,0.0
20230719:1503,1619.2,210.65,45.52,15.62,3.72,0.0
20230719:1603,1323.0,175.06,43.86,15.18,3.45,0.0
20230719:1703,1719.5,222.56,37.98,15.03,2.62,0.0
20230719:1803,1116.1,150.52,29.09,14.92,2.48,0.0
20230719:1903,283.9,49.06,18.31,15.16,3.1,0.0
20230719:2003,153.7,31.94,6.38,14.94,2.9,0.0
20230719:2103,0.0,0.0,0.0,14.51,2.55,0.0
20230719:2203,0.0,0.0,0.0,14.27,2.48,0.0
20230719:2303,0.0,0.0,0.0,14.15,2.41,0.0
20230720:0003,0.0,0.0,0.0,14.13,2.62,0.0
20230720:0103,0.0,0.0,0.0,13.99,2.9,0.0
20230720:0203,0.0,0.0,0.0,13.89,3.03,0.0
20230720:0303,0.0,0.0,0.0,13.79,2.9,0.0
20230720:0403,0.0,0.0,0.0,13.66,2.76,0.0
20230720:0503,0.0,0.0,0.0,13.64,2.83,0.0
20230720:0603,0.0,0.0,0.0,13.63,2.76,0.0
20230720:0703,0.0,0.0,0.0,13.35,3.03,0.0
20230720:0803,0.0,0.0,0.0,13.27,2.97,0.0
20230720:0903,0.0,0.0,0.0,13.22,2.97,0.0
20230720:1003,0.0,1.92,2.77,13.13,2.83,0.0
20230720:1103,604.8,88.51,14.97,13.74,4.21,0.0
20230720:1203,3133.0,387.66,26.18,14.99,4.62,0.0
20230720:1303,4374.9,545.22,35.75,16.28,4.97,0.0
20230720:1403,5851.7,746.75,42.68,17.66,5.03,0.0
20230720:1503,6092.2,789.62,45.7,18.94,4.62,0.0
20230720:1603,6568.5,866.87,44.04,19.76,4.0,0.0
20230720:1703,5814.9,762.21,38.14,20.47,3.52,0.0
20230720:1803,4461.8,574.94,29.23,20.24,3.24,0.0
20230720:1903,2612.3,342.19,18.43,19.39,3.17,0.0
20230720:2003,425.0,74.96,6.48,18.18,2.69,0.0
20230720:2103,0.0,0.0,0.0,16.35,2.41,0.0
20230720:2203,0.0,0.0,0.0,15.05,2.21,0.0
20230720:2303,0.0,0.0,0.0,14.51,2.07,0.0
20230721:0003,0.0,0.0,0.0,14.45,2.07,0.0
20230721:0103,0.0,0.0,0.0,14.38,1.93,0.0
20230721:0203,0.0,0.0,0.0,14.19,2.07,0.0
20230721:0303,0.0,0.0,0.0,13.97,2.28,0.0
20230721:0403,0.0,0.0,0.0,13.65,1.93,0.0
20230721:0503,0.0,0.0,0.0,13.26,1.72,0.0
20230721:0603,0.0,0.0,0.0,13.02,1.59,0.0
20230721:0703,0.0,0.0,0.0,12.74,1.24,0.0
20230721:0803,0.0,0.0,0.0,12.7,1.31,0.0
20230721:0903,0.0,0.0,0.0,12.55,1.59,0.0
20230721:1003,0.0,3.85,2.84,12.39,1.66,0.0
20230721:1103,1209.6,160.58,15.06,13.65,2.41,0.0
20230721:1203,3034.9,382.15,26.29,15.61,2.07,0.0
20230721:1303,5439.5,714.79,35.89,17.85,1.79,0.0
20230721:1403,6481.5,897.67,42.85,19.87,1.24,0.0
20230721:1503,6644.3,940.85,45.89,21.18,0.97,0.0
20230721:1603,6462.2,900.73,44.23,21.83,1.45,0.0
20230721:1703,5708.6,767.13,38.31,22.0,2.21,0.0
20230721:1803,4507.5,587.09,29.38,21.45,2.83,0.0
20230721:1903,2459.8,325.42,18.55,20.94,2.69,0.0
20230721:2003,399.6,71.19,6.58,19.7,2.62,0.0
20230721:2103,0.0,0.0,0.0,17.82,2.14,0.0
20230721:2203,0.0,0.0,0.0,16.59,1.93,0.0
20230721:2303,0.0,0.0,0.0,16.07,1.79,0.0
20230722:0003,0.0,0.0,0.0,15.89,1.52,0.0
20230722:0103,0.0,0.0,0.0,15.86,1.52,0.0
20230722:0203,0.0,0.0,0.0,15.67,1.38,0.0
20230722:0303,0.0,0.0,0.0,15.5,1.52,0.0
20230722:0403,0.0,0.0,0.0,15.17,1.66,0.0
20230722:0503,0.0,0.0,0.0,14.87,1.59,0.0
20230722:0603,0.0,0.0,0.0,14.69,1.66,0.0
20230722:0703,0.0,0.0,0.0,14.71,1.52,0.0
20230722:0803,0.0,0.0,0.0,14.23,1.45,0.0
20230722:0903,0.0,0.0,0.0,13.89,1.31,0.0
20230722:1003,0.0,1.92,2.92,13.22,1.24,0.0
20230722:1103,204.5,38.48,15.16,14.4,1.1,0.0
20230722:1203,515.9,78.87,26.41,16.55,1.45,0.0
20230722:1303,852.9,121.2,36.04,18.73,1.72,0.0
20230722:1403,1828.4,242.59,43.03,20.47,1.66,0.0
20230722:1503,6278.4,873.51,46.09,21.54,1.31,0.0
20230722:1603,6492.8,914.9,44.42,22.24,1.17,0.0
20230722:1703,5721.6,784.53,38.48,22.57,1.31,0.0
20230722:1803,4575.4,609.79,29.52,22.45,1.45,0.0
20230722:1903,2903.4,389.09,18.67,21.75,1.45,0.0
20230722:2003,757.8,130.73,6.68,20.74,1.52,0.0
20230722:2103,0.0,0.0,0.0,19.0,1.66,0.0
20230722:2203,0.0,0.0,0.0,17.54,1.52,0.0
20230722:2303,0.0,0.0,0.0,16.48,1.31,0.0
20230723:0003,0.0,0.0,0.0,15.84,1.38,0.0
20230723:0103,0.0,0.0,0.0,15.22,1.66,0.0
20230723:0203,0.0,0.0,0.0,14.99,1.79,0.0
20230723:0303,0.0,0.0,0.0,14.12,1.72,0.0
20230723:0403,0.0,0.0,0.0,13.3,1.72,0.0
20230723:0503,0.0,0.0,0.0,12.87,1.79,0.0
20230723:0603,0.0,0.0,0.0,12.6,1.79,0.0
20230723:0703,0.0,0.0,0.0,12.1,2.14,0.0
20230723:0803,0.0,0.0,0.0,11.66,2.14,0.0
20230723:0903,0.0,0.0,0.0,11.31,2.14,0.0
20230723:1003,102.5,25.09,3.0,11.09,2.0,0.0
20230723:1103,2880.1,363.35,15.26,12.99,1.45,0.0
20230723:1203,4737.4,615.45,26.54,17.71,1.45,0.0
20230723:1303,6045.4,816.18,36.19,20.27,1.86,0.0
20230723:1403,6677.0,925.42,43.21,22.18,2.14,0.0
20230723:1503,6865.6,964.25,46.29,23.48,2.21,0.0
20230723:1603,6573.0,923.53,44.61,24.2,1.93,0.0
20230723:1703,5111.2,696.26,38.65,24.47,1.52,0.0
20230723:1803,3491.1,465.09,29.67,24.26,1.1,0.0
20230723:1903,1119.4,157.61,18.8,23.32,1.03,0.0
20230723:2003,236.4,45.65,6.79,22.23,1.03,0.0
20230723:2103,0.0,0.0,0.0,20.42,1.17,0.0
20230723:2203,0.0,0.0,0.0,18.39,0.97,0.0
20230723:2303,0.0,0.0,0.0,17.47,0.97,0.0
20230724:0003,0.0,0.0,0.0,16.68,1.17,0.0
20230724:0103,0.0,0.0,0.0,15.82,1.52,0.0
20230724:0203,0.0,0.0,0.0,15.08,1.79,0.0
20230724:0303,0.0,0.0,0.0,14.65,1.79,0.0
20230724:0403,0.0,0.0,0.0,14.4,1.72,0.0
20230724:0503,0.0,0.0,0.0,14.2,1.59,0.0
20230724:0603,0.0,0.0,0.0,14.0,1.45,0.0
20230724:0703,0.0,0.0,0.0,13.83,1.59,0.0
20230724:0803,0.0,0.0,0.0,13.8,1.38,0.0
20230724:0903,0.0,0.0,0.0,13.6,1.31,0.0
20230724:1003,331.1,59.8,3.09,13.0,1.45,0.0
20230724:1103,2818.3,359.19,15.37,14.58,1.1,0.0
20230724:1203,4723.0,620.82,26.67,19.23,1.17,0.0
20230724:1303,5932.6,809.59,36.35,21.97,1.66,0.0
20230724:1403,6534.0,918.97,43.4,23.55,1.66,0.0
20230724:1503,6651.5,951.96,46.49,24.44,1.38,0.0
20230724:1603,6122.4,863.39,44.81,24.99,1.38,0.0
20230724:1703,4451.7,604.32,38.83,25.27,1.17,0.0
20230724:1803,2902.3,388.21,29.82,25.23,0.9,0.0
20230724:1903,1826.4,250.32,18.92,24.71,0.69,0.0
20230724:2003,115.9,26.93,6.89,23.34,0.55,0.0
20230724:2103,0.0,0.0,0.0,21.2,1.17,0.0
20230724:2203,0.0,0.0,0.0,19.15,1.45,0.0
20230724:2303,0.0,0.0,0.0,17.57,1.24,0.0
20230725:0003,0.0,0.0,0.0,17.55,0.83,0.0
20230725:0103,0.0,0.0,0.0,17.87,0.48,0.0
20230725:0203,0.0,0.0,0.0,17.84,0.34,0.0
20230725:0303,0.0,0.0,0.0,17.9,0.34,0.0
20230725:0403,0.0,0.0,0.0,17.96,0.55,0.0
20230725:0503,0.0,0.0,0.0,17.8,0.76,0.0
20230725:0603,0.0,0.0,0.0,17.12,0.97,0.0
20230725:0703,0.0,0.0,0.0,17.27,0.97,0.0
20230725:0803,0.0,0.0,0.0,15.59,1.31,0.0
20230725:0903,0.0,0.0,0.0,14.59,1.45,0.0
20230725:1003,507.3,84.87,3.18,13.71,1.59,0.0
20230725:1103,3009.9,385.09,15.48,15.19,1.03,0.0
20230725:1203,4837.2,639.7,26.8,19.7,1.1,0.0
20230725:1303,5923.2,810.17,36.52,22.39,1.66,0.0
20230725:1403,6551.6,919.61,43.59,23.9,1.86,0.0
20230725:1503,6820.6,958.44,46.7,24.75,2.48,0.0
20230725:1603,3434.9,454.23,45.02,25.35,3.03,0.0
20230725:1703,1087.0,153.9,39.01,25.49,2.9,0.0
20230725:1803,4409.7,588.47,29.97,25.1,2.28,0.0
20230725:1903,1806.4,247.07,19.05,24.39,0.83,0.0
20230725:2003,316.9,58.29,6.99,23.23,0.0,0.0
20230725:2103,0.0,0.0,0.0,21.85,0.28,0.0
20230725:2203,0.0,0.0,0.0,20.87,0.48,0.0
20230725:2303,0.0,0.0,0.0,20.09,0.62,0.0
20230726:0003,0.0,0.0,0.0,18.73,0.9,0.0
20230726:0103,0.0,0.0,0.0,18.05,1.1,0.0
20230726:0203,0.0,0.0,0.0,17.36,1.24,0.0
20230726:0303,0.0,0.0,0.0,16.75,1.31,0.0
20230726:0403,0.0,0.0,0.0,16.24,1.31,0.0
20230726:0503,0.0,0.0,0.0,15.72,1.24,0.0
20230726:0603,0.0,0.0,0.0,15.48,1.17,0.0
20230726:0703,0.0,0.0,0.0,14.33,1.59,0.0
20230726:0803,0.0,0.0,0.0,14.29,1.52,0.0
20230726:0903,0.0,0.0,0.0,14.03,1.45,0.0
20230726:1003,434.1,74.54,3.27,14.13,1.24,0.0
20230726:1103,2890.5,370.79,15.59,15.71,0.97,0.0
20230726:1203,4728.7,627.61,26.94,20.6,1.03,0.0
20230726:1303,5942.9,811.49,36.69,22.92,1.93,0.0
20230726:1403,6607.4,916.03,43.79,24.39,2.69,0.0
20230726:1503,6852.9,954.93,46.92,25.22,3.1,0.0
20230726:1603,6570.6,908.66,45.22,25.58,3.17,0.0
20230726:1703,5648.0,763.2,39.19,25.56,3.17,0.0
20230726:1803,4555.5,605.55,30.12,25.54,3.03,0.0
20230726:1903,2841.8,383.88,19.17,25.59,2.97,0.0
20230726:2003,707.4,123.63,7.1,24.32,1.86,0.0
20230726:2103,0.0,0.0,0.0,22.49,1.59,0.0
20230726:2203,0.0,0.0,0.0,20.37,1.59,0.0
20230726:2303,0.0,0.0,0.0,18.92,1.66,0.0
20230727:0003,0.0,0.0,0.0,17.83,1.59,0.0
20230727:0103,0.0,0.0,0.0,17.41,1.38,0.0
20230727:0203,0.0,0.0,0.0,17.04,1.31,0.0
20230727:0303,0.0,0.0,0.0,16.46,1.31,0.0
20230727:0403,0.0,0.0,0.0,15.95,1.38,0.0
20230727:0503,0.0,0.0,0.0,15.56,1.31,0.0
20230727:0603,0.0,0.0,0.0,15.32,1.31,0.0
20230727:0703,0.0,0.0,0.0,14.82,1.52,0.0
20230727:0803,0.0,0.0,0.0,14.58,1.45,0.0
20230727:0903,0.0,0.0,0.0,14.79,1.24,0.0
20230727:1003,456.0,78.07,3.37,15.55,0.97,0.0
20230727:1103,2955.7,382.52,15.71,16.74,0.55,0.0
20230727:1203,4694.5,627.87,27.09,20.92,0.62,0.0
20230727:1303,5793.1,808.12,36.86,23.67,0.9,0.0
20230727:1403,6294.8,906.56,44.0,24.99,0.76,0.0
20230727:1503,6553.4,944.45,47.14,25.26,1.17,0.0
20230727:1603,3716.0,491.0,45.44,24.71,2.83,0.0
20230727:1703,5229.1,687.64,39.38,23.12,3.79,0.0
20230727:1803,1259.1,171.56,30.27,21.34,4.55,0.0
20230727:1903,879.7,124.34,19.3,19.07,3.86,0.0
